Student_ID,Student_Name,Study_Hours,Attendance,Assignment_Score,Final_Marks,Result
1,Kendra Brown,7,76,46,59,Fail
2,Benjamin Richmond,4,79,49,60,Pass
3,Austin Zimmerman,8,100,64,87,Pass
4,Lynn Delgado,5,79,83,78,Pass
5,Sandra Williams,7,52,97,73,Pass
6,Lee Fields,10,92,74,85,Pass
7,Stephanie Page,3,56,97,59,Fail
8,Susan Mitchell,7,98,64,77,Pass
9,Cheryl Roy,8,58,68,74,Pass
10,Heather Manning,5,90,95,83,Pass
11,Timothy Fernandez,4,91,51,68,Pass
12,Meghan Watson,8,62,90,69,Pass
13,Jamie Gregory,8,64,86,78,Pass
14,Michelle Cannon,3,54,79,61,Pass
15,Madison Warren,6,78,51,59,Fail
16,Michael Baker,5,84,91,71,Pass
17,Marissa Williams,2,76,45,41,Fail
18,Sean Bryant,8,76,99,87,Pass
19,Shelby Clark,6,57,49,49,Fail
20,Jason Ward,2,81,41,54,Fail
21,Tabitha Mccann,5,69,95,76,Pass
22,Haley Holland,1,59,84,53,Fail
23,Christopher Mosley,10,62,64,74,Pass
24,Jason Williams,6,78,46,65,Pass
25,William Lewis,9,84,79,91,Pass
26,John Howard MD,1,57,62,40,Fail
27,Mark Hubbard,10,78,87,85,Pass
28,Steven Jones,3,80,50,51,Fail
29,Tony Brown,7,90,97,84,Pass
30,Clayton Jenkins,4,79,75,57,Fail
31,Richard Bradley,9,71,88,79,Pass
32,Kenneth Newman,3,70,87,61,Pass
33,Teresa Roberts,5,61,90,63,Pass
34,George Mayo,3,60,62,54,Fail
35,Kenneth Patel,7,51,98,75,Pass
36,Vincent Williams,5,99,82,81,Pass
37,Michael Garza,9,90,46,67,Pass
38,Steven Jackson,7,51,66,66,Pass
39,John Caldwell,2,83,52,52,Fail
40,Annette Farrell,4,52,90,61,Pass
41,Brian Howard,9,65,56,77,Pass
42,Kelly Ayala,2,100,71,65,Pass
43,Charles Novak,10,53,65,69,Pass
44,Stephen Johnson,9,72,96,88,Pass
45,Leonard Taylor,10,99,99,95,Pass
46,James Hicks,5,69,61,59,Fail
47,Kathleen Walsh,2,74,52,59,Fail
48,Wesley Cortez,4,79,100,67,Pass
49,Brooke Collins,7,67,51,59,Fail
50,Michael Maxwell,8,91,46,69,Pass
51,John Valencia,3,60,40,41,Fail
52,Brenda Rasmussen,1,78,72,53,Fail
53,Nicholas Blankenship,4,66,91,77,Pass
54,Luke Davis,2,75,94,63,Pass
55,Jessica Wilkerson,8,72,53,69,Pass
56,Alicia Smith,4,97,98,77,Pass
57,Michael Blankenship,2,69,86,63,Pass
58,Courtney Wong,6,94,82,84,Pass
59,Amber Riley,6,51,95,71,Pass
60,Annette Gray,10,73,97,88,Pass
61,Joe Griffin,4,80,80,67,Pass
62,William Johnson,6,76,56,66,Pass
63,Christopher Leonard,2,51,43,43,Fail
64,Michael Miller,10,63,91,87,Pass
65,Kevin Greene,2,53,90,58,Fail
66,Christie Harris,10,98,78,97,Pass
67,Mrs. Whitney Stevenson,4,62,40,43,Fail
68,Angel Meyers,8,85,80,79,Pass
69,John Mendoza,7,84,84,89,Pass
70,Jake Perez,9,93,63,80,Pass
71,Charles Greer,8,57,73,74,Pass
72,Barbara Hull,5,51,73,55,Fail
73,Richard Hamilton,2,55,63,53,Fail
74,John Davidson,5,80,98,72,Pass
75,Yolanda Ellis,8,59,54,57,Fail
76,Joshua Johnson,10,93,56,85,Pass
77,Misty Brown,9,70,52,67,Pass
78,Dana Avila,9,91,46,71,Pass
79,Leonard Glenn,1,59,48,42,Fail
80,Brian Anderson,9,72,83,80,Pass
81,Joseph Ortiz,7,52,74,61,Pass
82,Katherine Smith,9,81,62,73,Pass
83,Walter Reed,8,69,93,77,Pass
84,Kenneth Evans,1,59,86,61,Pass
85,Jonathan Bennett,8,78,78,85,Pass
86,Kayla Ramirez,8,90,62,72,Pass
87,Heather Green,3,100,65,67,Pass
88,Joel Randall,1,95,40,46,Fail
89,Michael Watson,8,83,53,77,Pass
90,Daniel Hughes,3,86,71,75,Pass
91,Dana Cooper,3,69,90,69,Pass
92,Amy Anderson,1,57,87,52,Fail
93,Carlos Sutton,5,56,49,46,Fail
94,Amanda Green,10,55,40,64,Pass
95,Mark Durham,7,60,44,56,Fail
96,Jason Baldwin,10,93,42,67,Pass
97,Steven Bowen,9,67,88,83,Pass
98,Angela Rodriguez,7,100,89,97,Pass
99,Donald Garcia,9,91,97,97,Pass
100,Tammy Hendrix,8,78,92,78,Pass
101,Michael Whitney,2,74,66,55,Fail
102,Nicole Reyes,1,70,90,62,Pass
103,Matthew Moore,7,95,93,89,Pass
104,Lindsay Reynolds,7,52,96,67,Pass
105,James Moore,8,67,61,68,Pass
106,Jasmin Ryan,5,73,57,61,Pass
107,Grace Villegas,3,96,55,59,Fail
108,Andre Brown,8,87,41,57,Fail
